PM Code,PM Name,PM-Cur,Is Balance Currency,Balance Currency,PM-Bal-Cur,Processing Currency,Amount factor
ASP,AstroPay,ASP-USD,True,USD,ASP-USD,USD,1
BT,Banks,BT-ZAR,True,ZAR,BT-ZAR,ZAR,1
BT,Banks,BT-USD,True,USD,BT-USD,USD,1
BT,Banks,BT-EUR,True,EUR,BT-EUR,EUR,1
BT,Banks,BT-NGN,True,NGN,BT-NGN,NGN,1
BT,Banks,BT-AED,True,AED,BT-AED,AED,1
CEL,Celluland,CEL-ZMW,True,ZMW,CEL-ZMW,ZMW,1
CEL,Celluland,CEL-GHS,True,GHS,CEL-GHS,GHS,1
CEL,Celluland,CEL-KES,True,KES,CEL-KES,KES,1
CEL,Celluland,CEL-UGX,True,UGX,CEL-UGX,UGX,1
DRC,Directa24,DRC-COP,False,USD,DRC-USD,COP,1
DRC,Directa24,DRC-USD,True,USD,DRC-USD,USD,1
DRC,Directa24,DRC-MXN,False,USD,DRC-USD,MXN,1
EFT,EFTPay,EFT-ZAR,True,ZAR,EFT-ZAR,ZAR,1
FRX,Finrax,FRX-USDT,True,USDT,FRX-USDT,USDT,1
FRX,Finrax,FRX-EUR,True,EUR,FRX-EUR,EUR,1
HVN,Hayvn,HVN-USD,True,USD,HVN-USD,USD,1
HVN,Hayvn,HVN-USDT,True,USDT,HVN-USDT,USDT,1
KP,KoraPay,KP-NGN,True,NGN,KP-NGN,NGN,1
LKP,LetKnow Pay,LKP-USD,True,USD,LKP-USD,USD,1
LKP,LetKnow Pay,LKP-USDT,True,USDT,LKP-USDT,USDT,1
LKP,LetKnow Pay,LKP-BTC,True,BTC,LKP-BTC,BTC,1000000
NT,Neteller CMT Processing,NT-USD,True,USD,NT-USD,USD,1
NTT,Neteller GCMT South Africa,NTT-USD,True,USD,NTT-USD,USD,1
SC,Nuvei,SC-USD,False,EUR,SC-EUR,USD,1
SC,Nuvei,SC-EUR,True,EUR,SC-EUR,EUR,1
SC,Nuvei,SC-TRY,False,EUR,SC-EUR,TRY,1
SC,Nuvei,SC-KES,False,EUR,SC-EUR,KES,1
SC,Nuvei,SC-UGX,False,EUR,SC-EUR,UGX,1
SC,Nuvei,SC-ZMW,False,EUR,SC-EUR,ZMW,1
SC,Nuvei,SC-GHS,False,EUR,SC-EUR,GHS,1
SC,Nuvei,SC-ZAR,False,EUR,SC-EUR,ZAR,1
SC,Nuvei,SC-BWP,False,EUR,SC-EUR,BWP,1
SC,Nuvei,SC-AED,False,EUR,SC-EUR,AED,1
SC,Nuvei,SC-GBP,False,EUR,SC-EUR,GBP,1
RR_SC,Nuvei RR,RR_SC-EUR,True,EUR,RR_SC-EUR,EUR,1
OZ,Ozow,OZ-ZAR,True,ZAR,OZ-ZAR,ZAR,1
PS,PagSmile,PS-MXN,True,MXN,PS-MXN,MXN,1
PS,PagSmile,PS-COP,True,COP,PS-COP,COP,1
INA,Payabl,INA-USD,False,EUR,INA-EUR,USD,1
INA,Payabl,INA-ZAR,False,EUR,INA-EUR,ZAR,1
INA,Payabl,INA-EUR,True,EUR,INA-EUR,EUR,1
INA,Payabl,INA-GHS,False,EUR,INA-EUR,GHS,1
INA,Payabl,INA-AED,False,EUR,INA-EUR,AED,1
INA,Payabl,INA-ZMW,False,EUR,INA-EUR,ZMW,1
RR_INA,Payabl RR,RR_INA-EUR,True,EUR,RR_INA-EUR,EUR,1
PMo,PerfectMoney,PMo-USD,True,USD,PMo-USD,USD,1
SKR,Skrill,SKR-USD,True,USD,SKR-USD,USD,1
SLP,SolidPayments,SLP-USD,False,EUR,SLP-EUR,USD,1
SLP,SolidPayments,SLP-EUR,True,EUR,SLP-EUR,EUR,1
RR_SLP,SolidPayments RR,RR_SLP-EUR,True,EUR,RR_SLP-EUR,EUR,1
SW,Swiffy,SW-ZAR,True,ZAR,SW-ZAR,ZAR,1
RR_SW,Swiffy RR,RR_SW-ZAR,True,ZAR,RR_SW-ZAR,ZAR,1
RR_SW2,Swiffy RR Card,RR_SW2-ZAR,True,ZAR,RR_SW2-ZAR,ZAR,1
TP,TrustPayments,TP-USD,False,EUR,TP-EUR,USD,1
TP,TrustPayments,TP-EUR,True,EUR,TP-EUR,EUR,1
RR_TP,Trustpayments RR,RR_TP-EUR,True,EUR,RR_TP-EUR,EUR,1
VP,Virtual Pay,VP-USD,True,USD,VP-USD,USD,1
VP,Virtual Pay,VP-TZS,True,TZS,VP-TZS,TZS,1
VP,Virtual Pay,VP-UGX,True,UGX,VP-UGX,UGX,1
VP,Virtual Pay,VP-EUR,False,USD,VP-USD,EUR,1
VP,Virtual Pay,VP-GBP,False,USD,VP-USD,GBP,1
RR_VP,Virtual Pay RR,RR_VP-USD,True,USD,RR_VP-USD,USD,1
ZP,Zotapay,ZP-USD,True,USD,ZP-USD,USD,1
INA,Payabl,INA-TZS,False,EUR,INA-EUR,TZS,1
INA,Payabl,INA-KES,False,EUR,INA-EUR,KES,1
ZP,Zotapay,ZP-KES,False,USD,ZP-USD,KES,1
SKR,Skrill,SKR-ZAR,True,ZAR,SKR-ZAR,ZAR,1
ZP,Zotapay,ZP-TZS,False,USD,ZP-USD,TZS,1
INA,Payabl,INA-NAD,False,EUR,INA-EUR,NAD,1
ZP,Zotapay,ZP-PHP,False,USD,ZP-USD,PHP,1
ZP,Zotapay,ZP-GHS,False,USD,ZP-USD,GHS,1
ZP,Zotapay,ZP-UGX,False,USD,ZP-USD,UGX,1
SC,Nuvei,SC-TZS,False,EUR,SC-EUR,TZS,1
FRX,Finrax,FRX-USD,True,USD,FRX-USD,USD,1
VLT,Vaultspay,VLT-USD,True,USD,VLT-USD,USD,1
NT,Neteller CMT Processing,NT-EUR,True,EUR,NT-EUR,EUR,1
NTT,Neteller GCMT South Africa,NTT-EUR,True,EUR,NTT-EUR,EUR,1
