Equity Report for 'all included' from 2023.04.30 to 2023.04.30,,,,,,,,,,,
Login,Group,PL Balance,Closed PL,Deposit,Balance,Floating PL,Credit,Equity,Margin,Free Margin,Bank
2017,CMCOVsa3US,9328.17,0,0,9328.17,0,0,9328.17,0,9328.17,
140375055,CMV0US,20620.98,0,0,20620.98,-8043.98,0,12577,1408.14,11168.86,
140647751,CMV0US,38377.03,0,0,38377.03,0,0,38377.03,0,38377.03,
140696888,CMV0US,0,0,0,0,0,0,0,0,0,
140738453,CMV11US,912891.91,0,0,912891.91,-698981.93,0,213909.98,321005.85,-107095.87,
140747089,CMV11US,163350.1,0,0,163350.1,20225.24,0,183575.34,141994.82,41580.52,
140779420,CMV11US,298864.23,0,0,298864.23,-194306.36,0,104557.87,131023.56,-26465.69,
140250188,CMV1US,42.8,0,0,42.8,0,0,42.8,0,42.8,
140329260,CMV1US,8691.22,0,0,8691.22,0,0,8691.22,0,8691.22,
140357825,CMV1US,958.54,0,0,958.54,0,0,958.54,0,958.54,
140461757,CMV1US,11373.34,0,0,11373.34,0,5500,16873.34,0,16873.34,
140537387,CMV1US,0,0,0,0,0,0,0,0,0,
140651938,CMV1US,87.49,0,0,87.49,0,0,87.49,0,87.49,
140653229,CMV1US,0,0,0,0,0,0,0,0,0,
140667262,CMV1US,20.6,0,0,20.6,-7.24,0,13.36,10.98,2.38,
140771643,CMV1US,194561.47,0,0,194561.47,-82776.78,0,111784.69,22382.6,89402.09,
140851472,CMV1US,0,0,0,0,0,0,0,0,0,
140908270,CMV1US,-4129.39,0,0,-4129.39,0,0,-4129.39,0,-4129.39,
140864956,CMV1USIS,8527211.88,0,0,8527211.88,-7835062.5,50000,742149.38,369154.12,372995.26,
140900230,CMV1USIS,485466.99,0,0,485466.99,-431150,0,54316.99,17686.17,36630.82,
140061064,CMV2EU,272.49,0,0,272.49,0,0,272.49,0,272.49,
140817632,CMV2EU,1363.26,0,0,1363.26,0,0,1363.26,0,1363.26,
140180844,CMV2EUIS,0,0,0,0,0,0,0,0,0,
140092248,CMV2US,0,0,0,0,0,0,0,0,0,
140096486,CMV2US,0,0,0,0,0,0,0,0,0,
140261259,CMV2US,0,0,0,0,0,0,0,0,0,
140267969,CMV2US,213.52,0,0,213.52,0,0,213.52,0,213.52,
140336141,CMV2US,30655.47,0,0,30655.47,-10103.38,0,20552.09,1117.46,19434.63,
140358037,CMV2US,0,0,0,0,0,0,0,0,0,
140434167,CMV2US,0,0,0,0,0,0,0,0,0,
140496999,CMV2US,317,0,0,317,0,0,317,0,317,
140587873,CMV2US,20.92,0,0,20.92,0,0,20.92,0,20.92,
140625188,CMV2US,79.09,0,0,79.09,0,0,79.09,0,79.09,
140688742,CMV2US,0,0,0,0,0,0,0,0,0,
140801244,CMV2US,0,0,0,0,0,0,0,0,0,
140828472,CMV2US,0,0,0,0,0,0,0,0,0,
140835272,CMV2US,82.18,0,0,82.18,0,0,82.18,0,82.18,
140897063,CMV2US,0,0,0,0,0,0,0,0,0,
140911568,CMV2US,0,0,0,0,0,0,0,0,0,
140913998,CMV2US,0,0,0,0,0,0,0,0,0,
140920738,CMV2US,1.97,0,0,1.97,0,0,1.97,0,1.97,
140930099,CMV2US,0.52,0,0,0.52,0,50,50.52,0,50.52,
140235528,CMV2USIS,0,0,0,0,0,0,0,0,0,
140288917,CMV2USIS,0,0,0,0,0,0,0,0,0,
140321825,CMV2USIS,4706.32,-0.1,0,4706.22,106.01,0,4812.23,10.61,4801.62,
140399510,CMV2USIS,17.33,0,0,17.33,0,0,17.33,0,17.33,
140453626,CMV2USIS,0,0,0,0,0,0,0,0,0,
140658244,CMV2USIS,0,0,0,0,0,0,0,0,0,
140670871,CMV2USIS,0,0,0,0,0,0,0,0,0,
140739214,CMV2USIS,5.89,0,0,5.89,0,0,5.89,0,5.89,
140742404,CMV2USIS,347.39,0,0,347.39,0,0,347.39,0,347.39,
140757229,CMV2USIS,4420590.02,0,0,4420590.02,-4432689.92,50000,37900.1,0,37900.1,
140830044,CMV2USIS,190.55,0,0,190.55,0,0,190.55,0,190.55,
140890199,CMV2USIS,32443.76,-1.5,0,32442.26,-5093.42,20000,47348.84,12786.79,34562.05,
140905766,CMV2USIS,0,0,0,0,0,0,0,0,0,
140909990,CMV2USIS,0,0,0,0,0,0,0,0,0,
140926673,CMV2USIS,292.14,0,0,292.14,-266.48,1000,1025.66,1180.28,-154.62,
1050125,CMV3EU,409.93,0,0,409.93,0,0,409.93,0,409.93,
5135771,CMV3EU,33.52,-13.62,0,19.9,0,0,19.9,0,19.9,
130092734,CMV3EU,6503.19,0,0,6503.19,0,0,6503.19,0,6503.19,
130095138,CMV3EU,627.5,0,0,627.5,0,0,627.5,0,627.5,
140175310,CMV3EU,0,0,0,0,0,0,0,0,0,
140246097,CMV3EU,212.44,0,0,212.44,0,0,212.44,0,212.44,
140663861,CMV3EU,2.44,0,0,2.44,0,0,2.44,0,2.44,
140759025,CMV3EU,595.67,0,0,595.67,0,0,595.67,0,595.67,
140782148,CMV3EU,115.64,0,0,115.64,0,0,115.64,0,115.64,
140782402,CMV3EU,306.9,0,0,306.9,0,0,306.9,0,306.9,
140800774,CMV3EU,68.41,0,0,68.41,0,0,68.41,0,68.41,
140813074,CMV3EU,0,0,0,0,0,0,0,0,0,
140815756,CMV3EU,0,0,0,0,0,0,0,0,0,
140859010,CMV3EU,591,0,0,591,0,0,591,0,591,
140864340,CMV3EU,124.35,0,0,124.35,0,0,124.35,0,124.35,
140865988,CMV3EU,63.82,0,0,63.82,0,0,63.82,0,63.82,
140880822,CMV3EU,0,0,0,0,0,0,0,0,0,
140888893,CMV3EU,0,0,0,0,0,0,0,0,0,
140891555,CMV3EU,222.38,0,0,222.38,0,0,222.38,0,222.38,
140892099,CMV3EU,0,0,0,0,0,0,0,0,0,
140895001,CMV3EU,68.13,0,0,68.13,0,47.54,115.67,0,115.67,
140899764,CMV3EU,227.03,0,0,227.03,42.52,0,269.55,18.77,250.78,
140900234,CMV3EU,0,0,0,0,0,0,0,0,0,
140909692,CMV3EU,486.06,0,0,486.06,0,184.22,670.28,0,670.28,
140909928,CMV3EU,0,0,0,0,0,0,0,0,0,
140910806,CMV3EU,0,0,0,0,0,0,0,0,0,
140912536,CMV3EU,1269.79,0,0,1269.79,-423.35,0,846.44,217.19,629.25,
140916049,CMV3EU,0,0,0,0,0,0,0,0,0,
140917367,CMV3EU,0,0,0,0,0,0,0,0,0,
140918823,CMV3EU,0,0,0,0,0,0,0,0,0,
140918947,CMV3EU,0,0,0,0,0,0,0,0,0,
140919593,CMV3EU,0,0,0,0,0,0,0,0,0,
140919793,CMV3EU,0,0,0,0,0,0,0,0,0,
140919823,CMV3EU,0,0,0,0,0,0,0,0,0,
140919969,CMV3EU,0,0,0,0,0,0,0,0,0,
140920349,CMV3EU,236.33,0,0,236.33,0,186.53,422.86,0,422.86,
140921184,CMV3EU,0,0,0,0,0,0,0,0,0,
140921186,CMV3EU,0,0,0,0,0,0,0,0,0,
140921618,CMV3EU,0,0,0,0,0,0,0,0,0,
140922340,CMV3EU,0,0,0,0,0,0,0,0,0,
140922673,CMV3EU,0,0,0,0,0,0,0,0,0,
140922841,CMV3EU,0,0,0,0,0,0,0,0,0,
140923115,CMV3EU,0,0,0,0,0,0,0,0,0,
140923391,CMV3EU,0,0,0,0,0,0,0,0,0,
140924051,CMV3EU,0,0,0,0,0,0,0,0,0,
140924329,CMV3EU,0,0,0,0,0,0,0,0,0,
140924463,CMV3EU,0,0,0,0,0,0,0,0,0,
140925503,CMV3EU,0,0,0,0,0,0,0,0,0,
